±‚¡ÿ≥Ø¬•,ƒ´∏ﬁ∂Û∏Ìƒ™,∞Ëºˆ ∆Ú±’,¿ßµµ,∞Êµµ
20191017,¿≤∞Ó∑Œ3±Ê 50,8602.5,37.57777,126.982634
20191018,∫œ√Ã∑Œ5∞°±Ê 38,5609.0,37.581286,126.981567
20191018,∞Ëµø±Ê 69,15012.0,37.580543,126.986594
20191018,¿≤∞Ó∑Œ3±Ê 50,9230.0,37.57777,126.982634
20191018,∫œ√Ã∑Œ11±Ê 1,8226.0,37.581425,126.984794
20191019,∫œ√Ã∑Œ5∞°±Ê 38,8194.0,37.581286,126.981567
20191019,¿≤∞Ó∑Œ3±Ê 50,12909.0,37.57777,126.982634
20191019,∞Ëµø±Ê 69,14287.0,37.580543,126.986594
20191019,∫œ√Ã∑Œ11±Ê 1,11165.5,37.581425,126.984794
20191020,∫œ√Ã∑Œ5∞°±Ê 38,7178.0,37.581286,126.981567
20191020,¿≤∞Ó∑Œ3±Ê 50,10721.0,37.57777,126.982634
20191020,∫œ√Ã∑Œ11±Ê 1,9778.0,37.581425,126.984794
20191020,∞Ëµø±Ê 69,13295.5,37.580543,126.986594
20191021,∫œ√Ã∑Œ11±Ê 1,9019.0,37.581425,126.984794
20191021,∫œ√Ã∑Œ5∞°±Ê 38,4652.5,37.581286,126.981567
20191021,∞Ëµø±Ê 69,13076.5,37.580543,126.986594
20191021,¿≤∞Ó∑Œ3±Ê 50,8354.5,37.57777,126.982634
20191022,∞Ëµø±Ê 69,13519.5,37.580543,126.986594
20191022,∫œ√Ã∑Œ5∞°±Ê 38,4520.5,37.581286,126.981567
20191022,∫œ√Ã∑Œ11±Ê 1,8136.0,37.581425,126.984794
20191022,¿≤∞Ó∑Œ3±Ê 50,8608.5,37.57777,126.982634
20191023,∫œ√Ã∑Œ5∞°±Ê 38,4992.5,37.581286,126.981567
20191023,∫œ√Ã∑Œ11±Ê 1,8218.0,37.581425,126.984794
20191023,¿≤∞Ó∑Œ3±Ê 50,8186.0,37.57777,126.982634
20191023,∞Ëµø±Ê 69,13525.0,37.580543,126.986594
20191024,∫œ√Ã∑Œ5∞°±Ê 38,5503.5,37.581286,126.981567
20191024,∞Ëµø±Ê 69,13177.0,37.580543,126.986594
20191024,¿≤∞Ó∑Œ3±Ê 50,9198.5,37.57777,126.982634
20191024,∫œ√Ã∑Œ11±Ê 1,9387.5,37.581425,126.984794
20191025,∫œ√Ã∑Œ5∞°±Ê 38,5809.5,37.581286,126.981567
20191025,∞Ëµø±Ê 69,13201.0,37.580543,126.986594
20191025,∫œ√Ã∑Œ11±Ê 1,9605.0,37.581425,126.984794
20191025,¿≤∞Ó∑Œ3±Ê 50,10301.5,37.57777,126.982634
20191026,∫œ√Ã∑Œ11±Ê 1,3903.0,37.581425,126.984794
20191026,¿≤∞Ó∑Œ3±Ê 50,2202.0,37.57777,126.982634
20191026,∫œ√Ã∑Œ5∞°±Ê 38,1844.5,37.581286,126.981567
20191026,∞Ëµø±Ê 69,5182.5,37.580543,126.986594
